id,word,html,description,pronounce
6794,đầy đẫy,<h1>đầy đẫy</h1><ul><li>xem đẫy (láy)</li></ul>,xem đẫy (láy),
6795,đầy đủ,<h1>đầy đủ</h1><ul><li>complete; sufficient; adequate</li></ul>,complete; sufficient; adequate,
6796,đầy hơi,"<h1>đầy hơi</h1><ul><li>Flatulent<ul style=""list-style-type:circle""><li>Cảm thấy đầy hơi:<i>To feel flatulent</i></li></ul></li></ul>",Flatulent,
6797,đầy ói,"<h1>đầy ói</h1><ul><li>Have in profusion,be choke-full with<ul style=""list-style-type:circle""><li>chợ đầy ói những cà chua:<i>The market was choke-full with tomatoes</i></li></ul></li></ul>","Have in profusion,be choke-full with",
6798,đầy ối,<h1>đầy ối</h1><ul><li>(địa phương) như đầy ói</li></ul>,(địa phương) như đầy ói,
6799,đầy phè,<h1>đầy phè</h1><ul><li>Brimful</li></ul>,Brimful,
6800,đầy rẫy,<h1>đầy rẫy</h1><ul><li>xem đầy dẫy</li></ul>,xem đầy dẫy,
6801,đầy ruột,"<h1>đầy ruột</h1><ul><li>Be infuriated, be enraged at (by)</li></ul>","Be infuriated, be enraged at (by)",
6802,đầy tháng,<h1>đầy tháng</h1><ul><li>Exactly one month old (of a baby)</li></ul>,Exactly one month old (of a baby),
6803,đầy tớ,<h1>đầy tớ</h1><ul><li>xem đày tớ</li></ul>,xem đày tớ,
6804,đầy tràn,"<h1>đầy tràn</h1><ul><li>Overflowing, overbrimming</li></ul>","Overflowing, overbrimming",
6805,đầy tuổi,<h1>đầy tuổi</h1><ul><li>Exactly one year old (of a baby)</li></ul>,Exactly one year old (of a baby),
6806,đẩy,<h1>đẩy</h1><h2>verb</h2><ul><li>to push; to shove; to thrust</li></ul>,verb: to push; to shove; to thrust,
6807,đẩy đưa,<h1>đẩy đưa</h1>-<br/>,,
6808,đẩy lùi,"<h1>đẩy lùi</h1><ul><li>cũng như đẩy lui-Roll back, push back, drive back<br/><ul style=""list-style-type:circle""><li>Đẩy lùi một cuộc tấn công:<i>To roll back an attack</i>-Check<br/></li><li>Đẩy lùi bệnh dịch:<i>To check an epidemic</i></li></ul></li></ul>",cũng như đẩy lui,
6809,đẩy mạnh,"<h1>đẩy mạnh</h1><ul><li>Push up, step up, speed up% Đẩy mạnh sản suất<br/>-Topush up production<br/></li></ul>","Push up, step up, speed up",
6810,đẩy ngã,<h1>đẩy ngã</h1><h2>verb</h2>-to push down<br/>,verb: ,
6811,đẫy,"<h1>đẫy</h1><h2>adj</h2><ul><li>fat<ul style=""list-style-type:circle""><li>đẫy đà:<i>corpulent;big and fat</i></li></ul></li></ul>",adj: fat,
6812,đẫy đà,"<h1>đẫy đà</h1><ul><li>Portly, corpulent<ul style=""list-style-type:circle""><li>Một bà đứng tuổi đẫy đà:<i>A portly middle-aged woman</i></li></ul></li></ul>","Portly, corpulent",
6813,đẫy giấc,"<h1>đẫy giấc</h1><ul><li>Sleep one's fil<ul style=""list-style-type:circle""><li>Thằng bé đã ngủ đẫy giấc:<i>The little boy has slept his fill</i></li></ul></li></ul>","Sleep one's fil",
6814,đẫy túi,"<h1>đẫy túi</h1><ul><li>Line one's pocket (purse) full<ul style=""list-style-type:circle""><li>Lão tri huyện từ quan sau khi đã đẫy túi:<i>That old district chief resigned after having lined his purse full</i></li></ul></li></ul>","Line one's pocket (purse) full",
6815,đấy,"<h1>đấy</h1><h2>adj</h2><ul><li>there<ul style=""list-style-type:circle""><li>ai đấy?:<i>Who is there?</i></li></ul></li></ul>",adj: there,
6816,đậy,<h1>đậy</h1><h2>verb</h2><ul><li>to cover ; to shut down</li></ul>,verb: to cover ; to shut down,
6817,đậy điệm,"<h1>đậy điệm</h1><ul><li>Cover (against dust..)<ul style=""list-style-type:circle""><li>Đậy điệm đồ ăn thức uống:<i>To cover eatables and drinkable</i></li></ul></li></ul>",Cover (against dust..),
6818,đe,<h1>đe</h1><h2>noun</h2><ul><li>anvil</li></ul>,noun: anvil,
6819,đe dọa,<h1>đe dọa</h1><h2>verb</h2><ul><li>to threaten; to menace</li></ul>,verb: to threaten; to menace,
6820,đe loi,<h1>đe loi</h1><ul><li>nh đe dọa</li></ul>,nh đe dọa,
6821,đè,<h1>đè</h1><h2>verb</h2><ul><li>to bear; to press</li></ul>,verb: to bear; to press,
6822,đè nén,<h1>đè nén</h1><h2>verb</h2>-to command; to control; to restrain<br/>,verb: ,
6823,đẻ,<h1>đẻ</h1><h2>verb</h2><ul><li>to bring forth; to give birth to (child) to throw ; to drop (of animals)</li></ul>,verb: to bring forth; to give birth to (child) to throw ; to drop (of animals),
6824,đẻ hoang,"<h1>đẻ hoang</h1><ul><li>Born out of wedlock, bastard</li></ul>","Born out of wedlock, bastard",
6825,đẻ non,"<h1>đẻ non</h1><ul><li>Be born prematurely; be delivered prematurely<ul style=""list-style-type:circle""><li>Thằng bé đẻ hoang:<i>The boy was born prematurely, the boy was a premature baby</i></li><li>Bà ấy đẻ non:<i>She was delivered prematurely</i></li><li>Con bò cái đẻ non:<i>The cow slipped her calf</i></li></ul></li></ul>",Be born prematurely; be delivered prematurely,
6826,đẻ rơi,"<h1>đẻ rơi</h1><ul><li>Be delivered on route to hospital, be borrn on route to hospital</li></ul>","Be delivered on route to hospital, be borrn on route to hospital",
6827,đem,"<h1>đem</h1><h2>verb</h2>-to bring; to carry<br/><ul style=""list-style-type:circle""><li> đem tin:<i>to bring news</i></li></ul>",verb:  đem tin:<i>to bring news</i>,
6828,đem lại,<h1>đem lại</h1><h2>verb</h2>-to bring about<br/>,verb: ,
6829,đem lòng,"<h1>đem lòng</h1><ul><li>Entertian the feeling of<ul style=""list-style-type:circle""><li>Đem lòng luyến tiếc thời còn trẻ:<i>To entertian the feeling of regretfor one's youth</i></li></ul></li></ul>",Entertian the feeling of,
6830,đem sang,<h1>đem sang</h1><ul><li>Carry over (trong kế toán)</li></ul>,Carry over (trong kế toán),
6831,đem thân,"<h1>đem thân</h1><ul><li>Risk one's life<ul style=""list-style-type:circle""><li>Đem thân ra chốn chiến trường:<i>To risk one's life at th battlefield</i></li></ul></li></ul>","Risk one's life",
6832,đem theo,"<h1>đem theo</h1><ul><li>Take [with one]<ul style=""list-style-type:circle""><li>Nhớ đem theo ô nhỡ trời mưa:<i>Don't forget to take [with you] an umbrellain case it rains</i></li></ul></li></ul>",Take [with one],
6833,đem về,<h1>đem về</h1><h2>verb</h2><ul><li>to take in</li></ul>,verb: to take in,
6834,đen,"<h1>đen</h1><h2>adj</h2><ul><li>black; unlucky<ul style=""list-style-type:circle""><li>vận đen:<i>bad luck</i></li></ul></li></ul>",adj: black; unlucky,
6835,đen bạc,"<h1>đen bạc</h1><ul><li>Ungrateful<ul style=""list-style-type:circle""><li>Ăn ở đen bạc:<i>To behave ungratefully</i></li></ul></li></ul>",Ungrateful,
6836,đen đen,<h1>đen đen</h1><ul><li>xem đen (láy)</li></ul>,xem đen (láy),
6837,đen đét,<h1>đen đét</h1><ul><li>xem đét (láy)</li></ul>,xem đét (láy),
6838,đen đỏ,"<h1>đen đỏ</h1><ul><li>cũng như đỏ đen Chance, luck (in gambling)<ul style=""list-style-type:circle""><li>Trò đen đỏ:<i>Games of chance</i></li></ul></li></ul>","cũng như đỏ đen Chance, luck (in gambling)",
6839,đen đủi,"<h1>đen đủi</h1><ul><li>Black<ul style=""list-style-type:circle""><li>Mặt mũi đen đủi:<i>A black face</i>-Bad, unlucky<br/></li><li>Vận đen đủi:<i>Bad luck, unlucky lot</i></li></ul></li></ul>",Black,
6840,đen giòn,"<h1>đen giòn</h1><ul><li>Attractively tawny<ul style=""list-style-type:circle""><li>Cô ta đen giòn Her coplexion is attractively tawny</li></ul></li></ul>",Attractively tawny,
6841,đen kịt,"<h1>đen kịt</h1><ul><li>Black, inky-black</li></ul>","Black, inky-black",
6842,đen nghịt,"<h1>đen nghịt</h1><ul><li>Very crowed, overcrowed</li></ul>","Very crowed, overcrowed",
6843,đen ngòm,"<h1>đen ngòm</h1><ul><li>Picth-black, picth-dark</li></ul>","Picth-black, picth-dark",
6844,đen nhánh,<h1>đen nhánh</h1><ul><li>Shining black</li></ul>,Shining black,
6845,đen sì,<h1>đen sì</h1><ul><li>Very black</li></ul>,Very black,
6846,đen tối,"<h1>đen tối</h1><h2>adj</h2><ul><li>dark<ul style=""list-style-type:circle""><li>tư tưởng đen tối:<i>dark throught</i></li></ul></li></ul>",adj: dark,
6847,đèn,"<h1>đèn</h1><h2>noun</h2><ul><li>lamp; light<ul style=""list-style-type:circle""><li>thắp đèn:<i>to light the lamp</i></li><li>người thắp đèn:<i>lamplighter</i></li></ul></li></ul>",noun: lamp; light,
6848,đèn bão,<h1>đèn bão</h1><ul><li>Hurricane-lamp</li></ul>,Hurricane-lamp,
6849,đèn bấm,<h1>đèn bấm</h1><ul><li>như đèn pin</li></ul>,như đèn pin,
6850,đèn chiếu,"<h1>đèn chiếu</h1><ul><li>Magic lantern, projector<ul style=""list-style-type:circle""><li>Phim đèn chiếu:<i>Film for projector, slides, transparencies</i></li></ul></li></ul>","Magic lantern, projector",
6851,đèn chớp,<h1>đèn chớp</h1><ul><li>(ảnh) Flash</li></ul>,(ảnh) Flash,
6852,đèn đất,"<h1>đèn đất</h1><ul><li>Acetylen lamp, carbide lamp</li></ul>","Acetylen lamp, carbide lamp",
6853,đèn điện,<h1>đèn điện</h1><h2>noun</h2><ul><li>electric lamp; electric light</li></ul>,noun: electric lamp; electric light,
6854,đèn đỏ,<h1>đèn đỏ</h1><ul><li>Red light</li></ul>,Red light,
6855,đèn đóm,"<h1>đèn đóm</h1><ul><li>Lamp,lights,lighting<ul style=""list-style-type:circle""><li>Đèn đóm sáng trưng:<i>Bright lighting, a bright lanplight</i></li></ul></li></ul>","Lamp,lights,lighting",
6856,đèn đuốc,<h1>đèn đuốc</h1><ul><li>như đèn đóm</li></ul>,như đèn đóm,
6857,đèn măng sông,<h1>đèn măng sông</h1><ul><li>Mantle lamp</li></ul>,Mantle lamp,
6858,đèn ống,<h1>đèn ống</h1><h2>noun</h2><ul><li>neon light</li></ul>,noun: neon light,
6859,đèn pin,<h1>đèn pin</h1><h2>noun</h2><ul><li>flash-lamp</li></ul>,noun: flash-lamp,
6860,đèn sách,"<h1>đèn sách</h1><ul><li>(cũ) Midnight oil<ul style=""list-style-type:circle""><li>Bõ công đèn sách:<i>Worth one's burning the midnight oil</i></li></ul></li></ul>",(cũ) Midnight oil,
6861,đèn treo,<h1>đèn treo</h1><ul><li>Hanging oil lamp</li></ul>,Hanging oil lamp,
6862,đèn trời,"<h1>đèn trời</h1><ul><li>(cũ) Wisdom (foresight,enlightenment) of highter level(concerning the lower levels' grievances)</li></ul>","(cũ) Wisdom (foresight,enlightenment) of highter level(concerning the lower levels' grievances)",
6863,đèn vách,<h1>đèn vách</h1><h2>noun</h2><ul><li>wall sconce</li></ul>,noun: wall sconce,
6864,đèn xanh,"<h1>đèn xanh</h1><ul><li>Green light<ul style=""list-style-type:circle""><li>Bật đèn xanh:<i>To give the green light</i></li></ul></li></ul>",Green light,
6865,đèn xếp,<h1>đèn xếp</h1><h2>noun</h2><ul><li>Chinese lamtern</li></ul>,noun: Chinese lamtern,
6866,đèn xì,<h1>đèn xì</h1><h2>noun</h2><ul><li>blowlamp</li></ul>,noun: blowlamp,
6867,đẹn,"<h1>đẹn</h1><ul><li>(địa phương,y học) Thrush-(y học) Rachitic, rickety<br/></li></ul>","(địa phương,y học) Thrush",
6868,đeo,<h1>đeo</h1><h2>verb</h2><ul><li>to carry; to wear; to put on</li></ul>,verb: to carry; to wear; to put on,
6869,đeo đuổi,<h1>đeo đuổi</h1><h2>verb</h2><ul><li>to pursue; to follow up</li></ul>,verb: to pursue; to follow up,
6870,đèo,"<h1>đèo</h1><h2>noun</h2><ul><li>mountain pass<ul style=""list-style-type:circle""><li>đèo Hải Vân</li></ul></li></ul><h2>verb</h2><ul><li>to carry ; to take along with</li></ul>",noun: mountain pass,
6871,đèo bòng,"<h1>đèo bòng</h1><ul><li>Be burdened with<ul style=""list-style-type:circle""><li>Đèo bòng vợ con:<i>To be burdened with family</i></li><li>Đèo bòng thuốc xái:<i>To be burdened with opium addiction</i></li></ul></li></ul>",Be burdened with,
6872,đèo bồng,<h1>đèo bồng</h1><h2>verb</h2><ul><li>to be burdened with</li></ul>,verb: to be burdened with,
6873,đèo đẽo,"<h1>đèo đẽo</h1><ul><li>Hang on to, remain glued to<ul style=""list-style-type:circle""><li>Đứa bé cứ theo mẹ đèo đẽo:<i>The little child hung on to his mother's apron-strings</i></li></ul></li></ul>","Hang on to, remain glued to",
6874,đèo hàng,<h1>đèo hàng</h1><ul><li>Luggage - rack</li></ul>,Luggage - rack,
6875,đẽo,<h1>đẽo</h1><h2>verb</h2><ul><li>to cut; to squeeze (money)</li></ul>,verb: to cut; to squeeze (money),
6876,đẽo gọt,"<h1>đẽo gọt</h1><ul><li>Whittle carefullyat<ul style=""list-style-type:circle""><li>Đẽo gọt một đoạn tre thành cái điếu:<i>To whittle carefully at a bamboo length and make it into hubble-bubble pipe</i>-Polish<br/></li><li>Đẽo gọt câu văn:<i>To polish a sentence</i></li></ul></li></ul>",Whittle carefullyat,
6877,đéo,"<h1>đéo</h1><ul><li>(tục)Fuck-Not a bloody damn<br/><ul style=""list-style-type:circle""><li>Đéo sợ:<i>Not to be a bloody damn cared</i></li></ul></li></ul>",(tục)Fuck,
6878,đẹp,"<h1>đẹp</h1><h2>adj</h2><ul><li>beautiful; handsome; fair; pretty<ul style=""list-style-type:circle""><li>một người đàn bà đẹp:<i>A beautiful woman</i></li></ul></li></ul>",adj: beautiful; handsome; fair; pretty,
6879,đẹp duyên,"<h1>đẹp duyên</h1><ul><li>Make a match of<ul style=""list-style-type:circle""><li>Hai anh chị đã đẹp duyên:<i>The lag and the lass have made a match of it</i></li></ul></li></ul>",Make a match of,
6880,đẹp đẽ,"<h1>đẹp đẽ</h1><ul><li>Beautiful, fine (nói khái quát)<ul style=""list-style-type:circle""><li>Quần áo đẹp đẽ:<i>Fine clothes</i></li></ul></li></ul>","Beautiful, fine (nói khái quát)",
6881,đẹp đôi,"<h1>đẹp đôi</h1><ul><li>Making a nice couple, well-as-sorted</li></ul>","Making a nice couple, well-as-sorted",
6882,đẹp lão,"<h1>đẹp lão</h1><ul><li>Hale and hearty<ul style=""list-style-type:circle""><li>Trông ông cụ tám mươi mà còn đẹp lão:<i>At eighty, he still looks hale and hearty</i></li></ul></li></ul>",Hale and hearty,
6883,đẹp lòng,"<h1>đẹp lòng</h1><h2>adj</h2><ul><li>satisfied, pleased</li></ul>","adj: satisfied, pleased",
6884,đẹp mã,<h1>đẹp mã</h1><ul><li>Having showy appearance</li></ul>,Having showy appearance,
6885,đẹp mắt,"<h1>đẹp mắt</h1><h2>adj</h2><ul><li>spectacular, nice</li></ul>","adj: spectacular, nice",
6886,đẹp mặt,"<h1>đẹp mặt</h1><ul><li>Be credit to, be a gloryto, do honour to<ul style=""list-style-type:circle""><li>Học giỏi làm đẹp mặt mẹ cha:<i>Doing well at school does honour to one's parents</i>-Shame<br/></li><li>Đẹp mặt chưa?:<i>Isn't it a shame on you?</i></li></ul></li></ul>","Be credit to, be a gloryto, do honour to",
6887,đẹp trai,"<h1>đẹp trai</h1><ul><li>Handsome (nói về đàn ông)<ul style=""list-style-type:circle""><li>Chàng thanh niên đẹp trai:<i>A handsome youth</i></li></ul></li></ul>",Handsome (nói về đàn ông),
6888,đẹp ý,"<h1>đẹp ý</h1><ul><li>Pleased, content<ul style=""list-style-type:circle""><li>Làm đẹp ý mẹ cha:<i>To pleaese one's parents</i></li></ul></li></ul>","Pleased, content",
6889,đét,<h1>đét</h1><h2>verb</h2><ul><li>to whip</li></ul><h2>adj</h2><ul><li>dried up</li></ul>,verb: to whip,
6890,đẹt,"<h1>đẹt</h1><ul><li>Stunted, scrubby<ul style=""list-style-type:circle""><li>Người đẹt:<i>A stunted body</i></li><li>Cây đẹt:<i>A stunted tree</i>-Rap (with some playing cards)<br/></li><li>Đánh bài thua bị đẹt vào ngón tay:<i>To loose at card playing and get rapped on the fingers with cards</i></li></ul></li></ul>","Stunted, scrubby",
6891,đê,"<h1>đê</h1><ul><li>Dyke<ul style=""list-style-type:circle""><li>Mùa nước đê dễ bị vỡ:<i>During the flood season, dykes easily break</i>-Thimble<br/></li><li>Dùng đê khi hkâu:<i>To use a thimble when sewing</i></li></ul></li></ul>",Dyke,
6892,đê điều,<h1>đê điều</h1><ul><li>Dykes and dyke-maintenance</li></ul>,Dykes and dyke-maintenance,
6893,đê hèn,<h1>đê hèn</h1><ul><li>mean; base; vile</li></ul>,mean; base; vile,
6894,đê mạt,"<h1>đê mạt</h1><ul><li>Vile, mean</li></ul>","Vile, mean",
6895,đê mê,<h1>đê mê</h1><ul><li>Be under the spell of (lovẹ..)</li></ul>,Be under the spell of (lovẹ..),
6896,đê nhục,<h1>đê nhục</h1><ul><li>Ignominous deed</li></ul>,Ignominous deed,
6897,đê quai,<h1>đê quai</h1><ul><li>Small dyke surrounding a big one</li></ul>,Small dyke surrounding a big one,
6898,đê tiện,"<h1>đê tiện</h1><ul><li>Abject, ignoble</li></ul>","Abject, ignoble",
6899,đề,"<h1>đề</h1><h2>noun</h2><ul><li>subject<ul style=""list-style-type:circle""><li>luận đề:<i>thesis</i></li></ul></li></ul><h2>verb</h2><ul><li>to write</li></ul>",noun: subject,
6900,đề án,"<h1>đề án</h1><ul><li>Program, scheme<ul style=""list-style-type:circle""><li>Đề án công tác:<i>A scheme of work</i></li></ul></li></ul>","Program, scheme",
6901,đề bạt,<h1>đề bạt</h1><ul><li>Promote</li></ul>,Promote,
6902,đề cao,"<h1>đề cao</h1><ul><li>Give prominence to, think highly of<ul style=""list-style-type:circle""><li>Đề cao việc tăng năng suất trong sản suất:<i>To give prominence to increasing labour efficiency in production</i>-Heighten<br/></li><li>Đề cao cảnh giác:<i>To heighten one's vigilance</i></li></ul></li></ul>","Give prominence to, think highly of",
6903,đề cập,"<h1>đề cập</h1><ul><li>Deal with, touch upon<ul style=""list-style-type:circle""><li>Đề cập một vấn đề To deal with a question</li></ul></li></ul>","Deal with, touch upon",
6904,đề cử,<h1>đề cử</h1><h2>verb</h2><ul><li>to nominate</li></ul>,verb: to nominate,
6905,đề cương,"<h1>đề cương</h1><ul><li>Draff of the fundamentals (of a political platform...)<ul style=""list-style-type:circle""><li>Đề cương chính trị:<i>A draft political platform</i></li></ul></li></ul>",Draff of the fundamentals (of a political platform...),
6906,đề dẫn,<h1>đề dẫn</h1><ul><li>(cũ) Introductory</li></ul>,(cũ) Introductory,
6907,đề dụ,<h1>đề dụ</h1><ul><li>(văn học) Synecdoche</li></ul>,(văn học) Synecdoche,
6908,đề đạt,"<h1>đề đạt</h1><ul><li>Propose to higher levels, put forward for consideration to higher levels<ul style=""list-style-type:circle""><li>Đề đạt nhiều ý kiến:<i>To put forward many suggestion to higher levels</i></li></ul></li></ul>","Propose to higher levels, put forward for consideration to higher levels",
6909,đề đốc,<h1>đề đốc</h1><ul><li>(cũ) Commander of a provincial army</li></ul>,(cũ) Commander of a provincial army,
6910,đề hình,<h1>đề hình</h1><ul><li>Hội đồng đề hình-Crime commission<br/></li></ul>,Hội đồng đề hình,
6911,đề huề,"<h1>đề huề</h1><ul><li>Go in crowds<ul style=""list-style-type:circle""><li>Con cháu đề huề:<i>To have crowds of children and grandchildren</i>-(cũ) Be in harmony<br/></li></ul></li></ul>",Go in crowds,
6912,đề kháng,<h1>đề kháng</h1><ul><li>xem để kháng</li></ul>,xem để kháng,
6913,đề khởi,"<h1>đề khởi</h1><ul><li>Be first to propose, be first to suggest, be first to put forward<ul style=""list-style-type:circle""><li>Đề khởi việc ra một tờ báo:<i>To be first to suggest the launching of a newspaper</i></li></ul></li></ul>","Be first to propose, be first to suggest, be first to put forward",
6914,đề lại,"<h1>đề lại</h1><ul><li>(cũ) Headclerk of district mandarin's office</li></ul>","(cũ) Headclerk of district mandarin's office",
6915,đề mục,"<h1>đề mục</h1><ul><li>Heading, head of chapter-Rubric<br/></li></ul>","Heading, head of chapter",
6916,đề nghị,<h1>đề nghị</h1><h2>verb</h2><ul><li>propose; to suggest</li></ul>,verb: propose; to suggest,
6917,đề phòng,<h1>đề phòng</h1><h2>verb</h2><ul><li>to prevent; to take precaution</li></ul>,verb: to prevent; to take precaution,
6918,đề tài,"<h1>đề tài</h1><ul><li>Subject, theme<ul style=""list-style-type:circle""><li>Đề tài của một cuốn tiểu thuyết:<i>The theme of a novel</i></li></ul></li></ul>","Subject, theme",
6919,đề tặng,"<h1>đề tặng</h1><ul><li>Dedicate<ul style=""list-style-type:circle""><li>lời đề tặng:<i>Dedication</i></li></ul></li></ul>",Dedicate,
6920,đề từ,<h1>đề từ</h1><ul><li>Epigraph</li></ul>,Epigraph,
6921,đề tựa,"<h1>đề tựa</h1><ul><li>Write a preface, write a foreword<ul style=""list-style-type:circle""><li>Đề tựa một cuốn sách:<i>To write a preface to a book</i></li><li>Đề tựa một tác phẩm của bạn:<i>To write a foreword to a friend's work</i></li></ul></li></ul>","Write a preface, write a foreword",
6922,đề vịnh,"<h1>đề vịnh</h1><ul><li>Write a poem under the inspiration of a scenery's beauty</li></ul>","Write a poem under the inspiration of a scenery's beauty",
6923,đề xuất,"<h1>đề xuất</h1><ul><li>Put forward (for discussion)<ul style=""list-style-type:circle""><li>Đề xuất rất nhiều ý kiến cải tiến công tác:<i>To put forward a great many ideas to improve the syle of work.dde^`</i></li><li>xướng:<i>Initiate, take the initiative, promote</i></li><li>Đề xướng một kế hoạch mới:<i>To promote a new plan</i></li></ul></li></ul>",Put forward (for discussion),
6924,để,"<h1>để</h1><h2>verb</h2><ul><li>to place; to cut; to set; to stand<ul style=""list-style-type:circle""><li>để cuốn sách lên bàn:<i>To place a book on the table</i>-To let; to leave; to keep<br/></li><li>để bạn chờ ngoài cửa:<i>to keep a friend waiting at the door for; so that; in order</i></li><li>để làm gì? What for?</li></ul></li></ul>",verb: to place; to cut; to set; to stand,
6925,để bụng,"<h1>để bụng</h1><ul><li>cũng như 4để lòng Have (something) in one's mind</li></ul>","cũng như 4để lòng Have (something) in one's mind",
6926,để chế,<h1>để chế</h1><ul><li>(địa phương) như để tang</li></ul>,(địa phương) như để tang,
6927,để cho,"<h1>để cho</h1><ul><li>In order that, in order to, so that, so as to<ul style=""list-style-type:circle""><li>Bón phân nhiều để cho lúa tốt:<i>To manure abundantly so that the rice plants grow well</i></li></ul></li></ul>","In order that, in order to, so that, so as to",
6928,để của,"<h1>để của</h1><ul><li>Leave (money or property) to somebody.-(cũ) Bury one's wealth<br/></li></ul>",Leave (money or property) to somebody.,
6929,để dành,"<h1>để dành</h1><h2>verb</h2><ul><li>to save; to economize<ul style=""list-style-type:circle""><li>để dành tiền:<i>to set money by</i></li></ul></li></ul>",verb: to save; to economize,
6930,để kháng,"<h1>để kháng</h1><ul><li>Resist<ul style=""list-style-type:circle""><li>ổ để kháng:<i>Pocket of resistance</i></li></ul></li></ul>",Resist,
6931,để không,"<h1>để không</h1><ul><li>Leave empty, leave unused<ul style=""list-style-type:circle""><li>Ngôi nhà để không:<i>A house left unused</i></li></ul></li></ul>","Leave empty, leave unused",
6932,để lại,<h1>để lại</h1><ul><li>như để nghĩa 7</li></ul>,như để nghĩa 7,
6933,để lòng,<h1>để lòng</h1><ul><li>như để bụng</li></ul>,như để bụng,
6934,để lộ,"<h1>để lộ</h1><ul><li>Let out<ul style=""list-style-type:circle""><li>Để lộ bí mật:<i>To let out a secret</i></li></ul></li></ul>",Let out,
6935,để mà,"<h1>để mà</h1><ul><li>In order to, in order that, so that, so as to<ul style=""list-style-type:circle""><li>Ăn để mà sống:<i>To eat in order to go on living, to eat in order to live</i></li></ul></li></ul>","In order to, in order that, so that, so as to",
6936,để mắt,"<h1>để mắt</h1><ul><li>Keep a keen eye on<ul style=""list-style-type:circle""><li>Để mắt đến việc học của con cái:<i>To Keep a keen eye on one's children's studies</i></li></ul></li></ul>",Keep a keen eye on,
6937,để mặt,"<h1>để mặt</h1><ul><li>Let be, leave alone<ul style=""list-style-type:circle""><li>Để mặc nó:<i>Leave him alone</i></li></ul></li></ul>","Let be, leave alone",
6938,để tang,"<h1>để tang</h1><ul><li>Wear mourning for, be in mourning for<ul style=""list-style-type:circle""><li>Để tang bố:<i>To be in mourning for one's father</i></li></ul></li></ul>","Wear mourning for, be in mourning for",
6939,để ý,<h1>để ý</h1><h2>verb</h2><ul><li>to pay attention; to regard; to take notice of</li></ul>,verb: to pay attention; to regard; to take notice of,
6940,đế,"<h1>đế</h1><ul><li>Support; sole<ul style=""list-style-type:circle""><li>Đế đèn:<i>A lamp-support</i></li><li>Đế giày:<i>The sole of shoe</i></li></ul></li></ul>",Support; sole,
6941,đế chế,<h1>đế chế</h1><ul><li>Monarchy</li></ul>,Monarchy,
6942,đế đô,<h1>đế đô</h1><ul><li>Imperial (royal) capital</li></ul>,Imperial (royal) capital,
6943,đế hiệu,"<h1>đế hiệu</h1><ul><li>Name of a king's (emperor's) reign</li></ul>","Name of a king's (emperor's) reign",
6944,đế kinh,<h1>đế kinh</h1><ul><li>như đế đô</li></ul>,như đế đô,
6945,đế quốc,<h1>đế quốc</h1><h2>noun</h2><ul><li>empire</li></ul>,noun: empire,
6946,đế vị,"<h1>đế vị</h1><ul><li>The throne, royalty</li></ul>","The throne, royalty",
6947,đế vương,<h1>đế vương</h1><h2>noun</h2><ul><li>king; emperor</li></ul>,noun: king; emperor,
6948,đệ,"<h1>đệ</h1><ul><li>(cũ) I, me (Từ dùng tự xưng một cách thân mật khi nói với<ul style=""list-style-type:circle""><li>người ngang hàng)-(cũ) Order, rank<br/></li><li>Lớp đệ tam:<i>The third form</i>-Submit, lay<br/></li><li>Đệ kiến nghị lên chính phủ xét:<i>To submit a petition to the Government for consideration</i></li></ul></li></ul>","(cũ) I, me (Từ dùng tự xưng một cách thân mật khi nói với",
6949,đệ đơn,<h1>đệ đơn</h1><h2>verb</h2>-to lay a petition<br/>,verb: ,
6950,đệ trình,"<h1>đệ trình</h1><h2>verb</h2><ul><li>to refer, to submit</li></ul>","verb: to refer, to submit",
6951,đệ tử,<h1>đệ tử</h1><h2>noun</h2><ul><li>disciple</li></ul>,noun: disciple,
6952,đếch,<h1>đếch</h1><ul><li>(tục) như đách</li></ul>,(tục) như đách,
6953,đêm,"<h1>đêm</h1><h2>noun</h2><ul><li>night<ul style=""list-style-type:circle""><li>nửa đêm:<i>mid-night</i></li></ul></li></ul>",noun: night,
6954,đêm hôm,"<h1>đêm hôm</h1><ul><li>Late night, late during the night<ul style=""list-style-type:circle""><li>Đêm hôm mà còn đi chơi:<i>To go out though it is late at night</i></li></ul></li></ul>","Late night, late during the night",
6955,đêm khuya,"<h1>đêm khuya</h1><ul><li>Late night and small hours ofthe morning<ul style=""list-style-type:circle""><li>Đêm khuya thanh vắng:<i>The deal hours of the night</i></li></ul></li></ul>",Late night and small hours ofthe morning,
6956,đêm nay,<h1>đêm nay</h1><h2>noun</h2>-tonight<br/>,noun: ,
6957,đêm ngày,<h1>đêm ngày</h1><h2>verb</h2><ul><li>day and night</li></ul>,verb: day and night,
6958,đêm tối,"<h1>đêm tối</h1><ul><li>Night<ul style=""list-style-type:circle""><li>Trong đêm tối:<i>At night, during the night</i></li></ul></li></ul>",Night,
6959,đêm trắng,<h1>đêm trắng</h1><ul><li>Sleepless night</li></ul>,Sleepless night,
6960,đêm trường,"<h1>đêm trường</h1><ul><li>văn chương) Long night<ul style=""list-style-type:circle""><li>Suốt đêm trường không chợp mắt:<i>Not to sleep a wink all through the long night</i></li></ul></li></ul>",văn chương) Long night,
